#            x/D           =            23.4375  ~  23  
#            r(mm)         r/D          fv(ppm)  rms_fv
-16.177799   -5.055562188  0.000347594  0.00081095
-16.040701   -5.012719063  0.000347594  0.00081095
-15.9036     -4.969875     0.000347594  0.00081095
-15.7665     -4.92703125   0.000347594  0.00081095
-15.6294     -4.8841875    0.000347595  0.0009268
-15.4923     -4.84134375   0.000347595  0.0009268
-15.3552     -4.7985       0.000347595  0.0009268
-15.2181     -4.75565625   0.00046346   0.0009268
-15.081      -4.7128125    0.000463461  0.00104265
-14.9439     -4.66996875   0.000463461  0.00104265
-14.8068     -4.627125     0.000463462  0.00104265
-14.6697     -4.58428125   0.000463462  0.00104265
-14.5326     -4.5414375    0.000463463  0.00104265
-14.3955     -4.49859375   0.000463463  0.00104265
-14.2584     -4.45575      0.000463463  0.00104265
-14.1213     -4.41290625   0.000463464  0.00104265
-13.9842     -4.3700625    0.000463464  0.00104265
-13.8471     -4.32721875   0.000463465  0.00104265
-13.71       -4.284375     0.000463465  0.00104265
-13.5729     -4.24153125   0.000463465  0.00104265
-13.4358     -4.1986875    0.000463465  0.0009268
-13.2987     -4.15584375   0.000463466  0.0009268
-13.1616     -4.113        0.000463466  0.0009268
-13.0245     -4.07015625   0.000463466  0.00081095
-12.8874     -4.0273125    0.000463467  0.00081095
-12.7503     -3.98446875   0.000463467  0.00081095
-12.6132     -3.941625     0.000463467  0.00081095
-12.4761     -3.89878125   0.000463467  0.00081095
-12.339      -3.8559375    0.000463468  0.00081095
-12.2019     -3.81309375   0.000463468  0.0009268
-12.0648     -3.77025      0.000463468  0.0009268
-11.9277     -3.72740625   0.000463468  0.00104265
-11.7906     -3.6845625    0.000463469  0.00104265
-11.6535     -3.64171875   0.000463469  0.0011585
-11.5164     -3.598875     0.000463469  0.00127435
-11.3793     -3.55603125   0.000463469  0.0013902
-11.2422     -3.5131875    0.000463469  0.00150605
-11.1051     -3.47034375   0.00046347   0.0016219
-10.968      -3.4275       0.00046347   0.00173775
-10.8309     -3.38465625   0.00046347   0.00196945
-10.6938     -3.3418125    0.00046347   0.00196945
-10.5567     -3.29896875   0.00046347   0.00220115
-10.4196     -3.256125     0.000463471  0.002317
-10.2825     -3.21328125   0.000579339  0.00243285
-10.1454     -3.1704375    0.000579339  0.00266455
-10.0083     -3.12759375   0.000695208  0.00289625
-9.8711996   -3.084749875  0.00069521   0.00312795
-9.7341003   -3.041906344  0.000695211  0.0034755
-9.5970001   -2.999062531  0.000811081  0.0037072
-9.4598999   -2.956218719  0.000811083  0.0039389
-9.3227997   -2.913374906  0.000811085  0.00428645
-9.1857004   -2.870531375  0.000926956  0.00451815
-9.0486002   -2.827687563  0.001042828  0.0048657
-8.9115      -2.78484375   0.001042832  0.0050974
-8.7743998   -2.741999938  0.001042835  0.0053291
-8.6372995   -2.699156094  0.001158708  0.0055608
-8.5002003   -2.656312594  0.001158713  0.0057925
-8.3631001   -2.613468781  0.001158716  0.0057925
-8.2259998   -2.570624938  0.001158719  0.0060242
-8.0888996   -2.527781125  0.001390467  0.0060242
-7.9517999   -2.484937469  0.001390473  0.00590835
-7.8147001   -2.442093781  0.001390478  0.00590835
-7.6775999   -2.399249969  0.001390483  0.00567665
-7.5405002   -2.356406313  0.001390487  0.00567665
-7.4033999   -2.313562469  0.001390491  0.00544495
-7.2663002   -2.270718813  0.001390494  0.0053291
-7.1292      -2.227875     0.001274623  0.0053291
-6.9920998   -2.185031188  0.001274625  0.00521325
-6.855       -2.1421875    0.001274627  0.0050974
-6.7178998   -2.099343688  0.001274629  0.0050974
-6.5808001   -2.056500031  0.001158755  0.00498155
-6.4436998   -2.013656188  0.001158756  0.0048657
-6.3066001   -1.970812531  0.001158757  0.00474985
